R93.8 - Abn. Bef. bei der bildg. Diagn. an sonst. näher bezeichneten Körperstrukturen|||R93.8
R93.6 - Abnorme Befunde bei der bildgebenden Diagnostik der Extremitäten|||R93.6
R93.7 - Abn. Bef. bei der bildg. Diagn. sonst. Abschn. des Muskel-Skelett-Systems|||R93.7
J18.9 - Pneumonie, nicht näher bezeichnet|||J18.9
Z96.64 - Vorhandensein einer Hüftgelenkprothese|||Z96.64
Z96.65 - Vorhandensein einer Kniegelenkprothese|||Z96.65
M16.9 - Koxarthrose, nicht näher bezeichnet|||M16.9
M17.9 - Gonarthrose, nicht näher bezeichnet|||M17.9
C78.0 - Sekundäre bösartige Neubildung der Lunge|||C78.0
CT-Halsweichteile Normalbefund|||Eingeschränkte Beurteilbarkeit bei Aufhärtungsartefakten durch einliegendes Zahnprothesenmaterial. Regelrechte und symmetrische Darstellung der Weichteile im Bereich der Mundhöhle, des Mundbodens, Zungengrundes, Pharynx und Larynx sowie der mituntersuchten Strukturen der Schädelbasis. Partiell miterfasste Trachea unauffällig. Schilddrüse nicht vergrößert. Übrige Weichteile im Bereich von Hals und Gesichtsschädel ohne Nachweis suspekter Raumforderungen, insbesondere unauffällige Darstellung der Speicheldrüsen beidseits. Homogene Kontrastierung der Halsgefäße ohne Nachweis höhergradiger vasosklerotischer Veränderungen. Kein Nachweis pathologischer Lymphknoten in den Leveln I-VII. Nasenhaupthöhle, Nasennebenhöhlen und Cellulae mastoidiae bilateral symmetrisch entwickelt und regelrecht pneumatisiert, soweit erfasst.
CT-Thorax Normalbefund|||Unauffälliger Weichteilmantel ohne axilläre Lymphadenopathie. Mediastinum mittelständig. Herz nicht wesentlich vergrößert. Kein Perikarderguss. Keine zentrale Lungenarterienembolie. Keine hiläre oder mediastinale Lymphadenopathie. Regelrechter Verlauf der supraaortalen Gefäße. Kein Pleuraerguss. Keine pneumonischen Konsolidierungen. Keine interstitielle Zeichnungsvermehrung oder malignitätssupekten pulmonalen Rundherde.
CT-Abdomen Normalbefund|||Abdomineller Weichteilmantel unauffällig. Homogenes Leberparenchym ohne Nachweis fokaler malignitätssupekter Läsionen. Keine Cholestase. Gallenblase zartwandig. Pankreas, Milz, Nebennieren und Nieren in Lage, Form und Größe regelrecht mit unauffälligen KM-Verhalten. Kein Harnstau. Harnblase unauffällig. Unauffälliger Uterus und Adnexe / Prostata und Samenbläschen. Keine freie Luft. Keine freie Flüssigkeit. An Magen, Dünndarm, Colonrahmen, und Rektum keine erkennbaren Wandverdickungen und Stenosen. Keine pathologisch vergrößerten Lymphknoten zwischen Zwerchfell und Symphyse. Pfortader frei. Unauffällige Kontrastierung der großen abdominellen Gefäße (soweit in portalvenöser KM-Phase beurteilbar).
MRT-Schulter nativ Normalbefund|||Regelrechte Artikulation im AC-Gelenk. Regelrechtes Markraumsignal der ossären Strukturen ohne Nachweis von kontusionsverdächtigen Signalalterationen. Kein Hinweis auf eine Fraktur. Regelrechte Stellung im Glenohumeralgelenk. Regelrechte Weite des Subakromialraumes unter Untersuchungsbedingungen. Gelenkknorpel mit regelrechtem, homogenem Signalverhalten und ohne Nachweis einer signifikanten Verschmälerung. Regelrechte und signalarme Darstellung des Labrums ohne Nachweis eines Einrisses. Unauffällige und signalarme Darstellung der Gelenkkapsel und der glenohumeralen Bänder. Regelrechte und signalarme Darstellung der Bizepssehne und des Bizepssehnenankers (keine SLAP-Läsion). Intakte Rotatorenmanschette mit regelrechter und signalarmer Darstellung der Supraspinatussehne, Infraspinatussehne und Subscapularissehne. Keine Atrophie des M. supraspinatus abgrenzbar. Kein Nachweis eines Gelenkergusses. 
Hüft-TEP Normalbefund|||Zum Vergleich Aufnahmen aus der intraoperativen Durchleuchtung vom XXXXX und konventionelle Voruntersuchung vom XXXXX. Neu eingebrachte Hüft-TEP links/rechts. Prothese intakt und ohne Hinweis auf Lockerung. Keine periprothetische Fraktur. Periprothetische Verdichtung durch eingebrachten Knochenzement. Metallklammern und kleine Lufteinschlüsse im lateralen Weichteil links/rechts. Regelrechte Artikulation im linken/rechten Hüftgelenk bei Coxarthrose Grad. Vasosklerose.
Knie-TEP Normalbefund|||Zum Vergleich Aufnahmen aus der intraoperativen Durchleuchtung vom XXXXX und konventionelle Voruntersuchung vom XXXXX. Neu eingebrachte Knie TEP links/rechts. Prothese intakt und ohne Hinweis auf Lockerung. Keine periprothetische Fraktur. Achsengerechte Stellung. Periprothetische Verschattung bei eingebrachtem Knochenzement. Regelrechte und zentrale Stellung der Patella im femoralen Gleitlager bei Retropatellararthrose. Metallklammern im anterioren Weichteilschatten.
Rö-Thorax im Stehen Normalbefund|||Mediastinum mittelständig. Oberes Mediastinum schlank. Herzschatten nicht verbreitert. Keine Lungenstauung. Keine Ergüsse. Keine flächigen Infiltrate. Keine malignitätssuspekten Rundherde. Kein Pneumothorax abgrenzbar. Annähernd symmetrischer Rippenthorax. Multisegmentale Spondylosis deformans. Deckende Weichteile projektionsradiographisch unauffällig.
Rö-Thorax im Liegen Normalbefund|||Im Liegen gestauchte kardiomediastinale Silhouette, etwa mittelständig. Keine Lungenstauung. Keine Ergüsse. Keine flächigen Infiltrate in den einsehbaren Lungenabschnitten. Im Liegen ist kein Pneumothorax abgrenzbar. Keine frische dislozierte Rippenfraktur. Deckende Weichteile projektionsradiografisch unauffällig.
